+--------------------------------------+----------------------------------------------------------------------+
|               Package                |                               License                                |
|              POT 0.4.0               |                                 MIT                                  |
|          prettytable 3.12.0          |                         (Licence not found)                          |
|       prometheus-client 0.21.0       |                     Apache Software License 2.0                      |
|        prompt-toolkit 3.0.48         |                         (Licence not found)                          |
|           protobuf 4.24.3            |                         3-Clause BSD License                         |
|             psutil 6.0.0             |                             BSD-3-Clause                             |
|           ptyprocess 0.7.0           |                               UNKNOWN                                |
|           pure-eval 0.2.3            |                                 MIT                                  |
|            pyarrow 12.0.1            |                     Apache License, Version 2.0                      |
|             pyasn1 0.5.0             |                             BSD-2-Clause                             |
|         pyasn1-modules 0.3.0         |                                 BSD                                  |
|            pycosat 0.6.6             |                                 MIT                                  |
|            pycparser 2.22            |                             BSD-3-Clause                             |
|             pygame 2.5.1             |                                 LGPL                                 |
|           pygments 2.18.0            |                             BSD-2-Clause                             |
|            pynvml 11.5.3             |                                 BSD                                  |
|            PyOpenGL 3.1.7            |                                 BSD                                  |
|           pyOpenSSL 24.2.1           |                     Apache License, Version 2.0                      |
|           pyparsing 3.1.2            |                         (Licence not found)                          |
|           pyperclip 1.9.0            |                                 BSD                                  |
|             PyQt5 5.15.9             |                                GPL v3                                |
|          PyQt5-sip 12.12.2           |                                 SIP                                  |
|            PySocks 1.7.1             |                                 BSD                                  |
|         pytablewriter 1.2.0          |                             MIT License                              |
|        python-dateutil 2.9.0         |                             Dual License                             |
|       python-json-logger 2.0.7       |                                 BSD                                  |
|          pytorch-fid 0.3.0           |                         (Licence not found)                          |
|       pytorch-kinematics 0.7.4       |          Copyright (c) 2023 University of Michigan ARM Lab           |
|          pytorch-seed 0.2.0          |          Copyright (c) 2023 University of Michigan ARM Lab           |
|             pytz 2024.1              |                                 MIT                                  |
|           pywavelets 1.6.0           |     Copyright (c) 2006-2012 Filip Wasilewski <http://en.ig.ma/>      |
|             PyYAML 6.0.2             |                                 MIT                                  |
|             pyzmq 26.2.0             |                         BSD 3-Clause License                         |
|          referencing 0.35.1          |                         (Licence not found)                          |
|           regex 2023.10.3            |                       Apache Software License                        |
|           requests 2.31.0            |                              Apache 2.0                              |
|       requests-oauthlib 1.3.1        |                                 ISC                                  |
|       rfc3339-validator 0.1.4        |                             MIT license                              |
|       rfc3986-validator 0.1.1        |                             MIT license                              |
|             rich 13.5.2              |                                 MIT                                  |
|            rl-zoo3 2.3.0             |                                 MIT                                  |
|              roma 1.5.0              |                         (Licence not found)                          |
|            rpds-py 0.20.1            |                                 MIT                                  |
|               rsa 4.9                |                              Apache-2.0                              |
|         ruamel.yaml 0.17.40          |                             MIT license                              |
|        ruamel.yaml.clib 0.2.8        |                                 MIT                                  |
|          safetensors 0.4.1           |                         (Licence not found)                          |
|            sapien 3.0.0b1            |                                 MIT                                  |
|          sb3-contrib 2.3.0           |                                 MIT                                  |
|         scikit-image 0.20.0          |                               Files: *                               |
|       scikit-learn 1.4.1.post1       |                               new BSD                                |
|             scipy 1.12.0             | Copyright (c) 2001-2002 Enthought, Inc. 2003-2024, SciPy Developers. |
|            seaborn 0.13.0            |                         (Licence not found)                          |
|           Send2Trash 1.8.3           |                             BSD License                              |
|           sentry-sdk 2.0.0           |                                 MIT                                  |
|          setproctitle 1.3.3          |                             BSD-3-Clause                             |
|          setuptools 69.5.1           |                         (Licence not found)                          |
|             Shimmy 1.1.0             |                         (Licence not found)                          |
|             shtab 1.7.1              |                              Apache-2.0                              |
|              sip 6.7.12              |                                 SIP                                  |
|              six 1.16.0              |                                 MIT                                  |
|          sklearn 0.0.post9           |                         (Licence not found)                          |
|             smmap 5.0.1              |                                 BSD                                  |
|            sniffio 1.3.1             |                          MIT OR Apache-2.0                           |
|        sortedcontainers 2.4.0        |                              Apache 2.0                              |
|            soupsieve 2.6             |                         (Licence not found)                          |
|          SQLAlchemy 2.0.23           |                                 MIT                                  |
|       stable-baselines3 2.3.0        |                                 MIT                                  |
|           stack-data 0.6.3           |                                 MIT                                  |
|          statsmodels 0.14.2          |                             BSD License                              |
|              swig 4.1.1              |           https://github.com/swig/swig/blob/master/LICENSE           |
|              sympy 1.12              |                                 BSD                                  |
|           tabledata 1.3.3            |                             MIT License                              |
|            tabulate 0.9.0            |                                 MIT                                  |
|             tblib 3.0.0              |                             BSD-2-Clause                             |
|            tcolorpy 0.1.4            |                             MIT License                              |
|          tensorboard 2.14.0          |                              Apache 2.0                              |
|    tensorboard-data-server 0.7.1     |                              Apache 2.0                              |
|           tensordict 0.5.0           |                                 BSD                                  |
|           terminado 0.18.1           |                         BSD 2-Clause License                         |
|         threadpoolctl 3.2.0          |                             BSD-3-Clause                             |
|          tifffile 2024.8.10          |                                 BSD                                  |
|            tinycss2 1.4.0            |                         (Licence not found)                          |
|             toml 0.10.2              |                                 MIT                                  |
|             tomli 2.0.1              |                         (Licence not found)                          |
|             toolz 0.12.1             |                                 BSD                                  |
|             toppra 0.6.0             |                                 MIT                                  |
|             torch 2.4.1              |                                BSD-3                                 |
|            torchrl 0.5.0             |                                 MIT                                  |
|          torchvision 0.19.1          |                                 BSD                                  |
|            tornado 6.4.1             |                              Apache-2.0                              |
|             tqdm 4.66.1              |                           MPL-2.0 AND MIT                            |
|           traitlets 5.14.3           |                         BSD 3-Clause License                         |
